date,variant,location,percent_of_sequences,date_str
2020-05-11,(Non-WHO) + org strain,Argentina,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Australia,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Austria,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Bangladesh,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Belgium,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Brazil,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Canada,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Chile,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Colombia,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Denmark,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Egypt,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Finland,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,France,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Germany,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,India,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Ireland,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Italy,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Japan,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Kenya,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Mexico,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,N/A,0.0,
2020-05-11,(Non-WHO) + org strain,N/A,0.0,
2020-05-11,(Non-WHO) + org strain,Netherlands,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Peru,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Poland,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Qatar,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Romania,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Russia,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Senegal,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Serbia,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Singapore,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,South Africa,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,South Korea,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Spain,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Sweden,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Switzerland,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Turkey,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,United Arab Emirates,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,United Kingdom,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,United States,100.0,2020/05/11
2020-05-11,(Non-WHO) + org strain,Zimbabwe,100.0,2020/05/11
2020-05-25,(Non-WHO) + org strain,Argentina,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Australia,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Austria,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Bangladesh,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Belgium,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Brazil,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Canada,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Chile,100.0,2020/05/25
2020-05-25,(Non-WHO) + org strain,Denmark,100.0,2020/05/25
